Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
TIT	front	intro	m2jl			0		"#ತೀತನಿಗೆ ಬರೆದ ಪತ್ರದ ಪೀಠಿಕೆ <br>## ಭಾಗ 1: ಸಾಮಾನ್ಯ ಪೀಠಿಕೆ<br><br>### ತೀತ ಪುಸ್ತಕದ ಹೊರನೋಟ <br><br>1. ಪೌಲನು ತೀತನನ್ನು ಕುರಿತು ದೈವಾಂಶವುಳ್ಳವರನ್ನು ನಾಯಕರನ್ನಾಗಿ ಆಯ್ಕೆಮಾಡಿ ನೇಮಿಸುವಂತೆ ತಿಳಿಸುತ್ತಾನೆ.(1:1-16)<br>1. ಜನರು ದೈವೀಕವಾದ ಜೀವನವನ್ನು ನಡೆಸಲು ತರಬೇತಿ ನೀಡ ಬೇಕೆಂದು ತೀತನಿಗೆ ಪೌಲನು ಸೂಚಿಸುತ್ತಾನೆ.(2:1-3:11 ) <br>1 ಪೌಲನು ತನ್ನ ಮುಂದಿನ ಯೋಜನೆಗಳ ಬಗ್ಗೆ ಮತ್ತು ಅನೇಕ ವಿಶ್ವಾಸಿಗಳಿಗೆ ಶುಭಾಶಯಗಳನ್ನು , ವಂದನೆಗಳನ್ನೂ ಹೇಳುತ್ತಾ ತನ್ನ ಮಾತುಗಳನ್ನು ಮುಕ್ತಾಯಗೊಳಿಸುತ್ತಾನೆ .(3:12-15) <br><br>### ತೀತನ ಪತ್ರಗಳನ್ನು ಬರೆದವರು ಯಾರು ? <br><br> ಪೌಲನು ತೀತನ ಈ ಪುಸ್ತಕವನ್ನು ಬರೆದನು. ಪೌಲನು ತಾರ್ಸಾ ಪಟ್ಟಣದವನು . ಅವನ ಮೊದಲ ಹೆಸರು ಸೌಲ . ಕ್ರೈಸ್ತನಾಗುವ ಮೊದಲು ಪೌಲನು ಒಬ್ಬ ಪರಿಸಾಯನಾಗಿದ್ದ. ಕ್ರೈಸ್ತರನ್ನು ಹಿಂಸಿಸಿ ಕಿರುಕುಳ ನೀಡುತ್ತಿದ್ದ. ಆದರೆ ಅವನು ಕ್ರೈಸ್ತನಾದ ಮೇಲೆ ರೋಮಾಯ ದೇಶದಲ್ಲೆಲ್ಲಾ ಅನೇಕ ಸಲ ಪ್ರಯಾಣಿಸಿ ಯೇಸುವಿನ ಬಗ್ಗೆ ಹೇಳುತ್ತಾ ಜನರಿಗೆ ಯೇಸುವಿನ ಪರಿಚಯ ಮಾಡಿಸಿದ <br><br>### ತೀತನ ಪುಸ್ತಕದಲ್ಲಿ ಯಾವುದರ ಬಗ್ಗೆ ತಿಳಿಸಿದೆ ? <br><br> ಪೌಲನು ಈ ಪತ್ರಗಳನ್ನು ತನ್ನ ಸಹಕಾರಿಯಾದ ತೀತನಿಗೆ ಬರೆದನು. ತೀತನು ಕ್ರೇತಾ ದ್ವೀಪದಲ್ಲಿ ಸಭೆಗಳ / ಚರ್ಚ್ ಗಳ ನಾಯಕನಾಗಿ ಸೇವೆ ಸಲ್ಲಿಸುತ್ತಿದ್ದನು. ಚರ್ಚ್ ನ ./ ಸಭೆಯ ನಾಯಕರನ್ನು ಹೇಗೆ ಆಯ್ಕೆಮಾಡಬೇಕು ಎಂಬುದನ್ನು ಕುರಿತು ಸೂಚನೆಗಳನ್ನು ಪೌಲನು ತೀತನಿಗೆ ನೀಡಿದನು. ವಿಶ್ವಾಸಿಗಳು ಪರಸ್ಪರ ಹೇಗೆ ನಡೆದುಕೊಳ್ಳಬೇಕು ಮತ್ತು ಉತ್ತಮ ನಡತೆಯ ಬಗ್ಗೆ ವಿವರಿಸಿದನು . ದೇವರಿಗೆ ಮೆಚ್ಚುಗೆ ಯಾಗುವಂತೆ ಹೇಗೆ ಜೀವನ ನಡೆಸಬೇಕು ಎಂಬುದರ ಬಗ್ಗೆ ತಿಳಿಸಿ ವಿವರಿಸಿದನು .<br><br>###ಈ ಪುಸ್ತಕದ ಶೀರ್ಷಿಕೆಯನ್ನು ಹೇಗೆ ಭಾಷಾಂತರಿಸಬೇಕು ? <br><br> ಭಾಷಾಂತರ ಮಾಡುವವರು ಈ ಪುಸ್ತಕದ ಶೀರ್ಷಿಕೆಯನ್ನು ಸಾಂಪ್ರದಾಯಿಕವಾಗಿ ಹೇಳುವಂತೆ 
""ತೀತ"" ಎಂದು ಭಾಷಾಂತರಿಸಬಹುದು. ಅಥವಾ "" ಪೌಲನು ತೀತನಿಗೆ ಬರೆದ ಪತ್ರ "" ಅಥವಾ "" ತೀತನಿಗೆ ಒಂದು ಪತ್ರ ""ಎಂದು ಸ್ಪಷ್ಟವಾಗಿ ಭಾಷಾಂತರಿಸಬಹುದು.."" ( ನೋಡಿ: [[rc://en/ta/man/translate/translate-names]]) <br><br>## ಭಾಗ2: ಪ್ರಮುಖವಾದ ಧಾರ್ಮಿಕ ಮತ್ತು ಸಾಂಸ್ಕೃತಿಕ ಪರಿಕಲ್ಪನೆಗಳು <br><br>###  ಸಭೆಯಲ್ಲಿ / ಚರ್ಚಿನಲ್ಲಿ ಜನರು ಯಾವ ವಿಭಿನ್ನ ಪಾತ್ರಗಳಲ್ಲಿ ಸೇವೆ ಮಾಡಬಹುದು ?<br><br>ತೀತನ ಪುಸ್ತಕದಲ್ಲಿ ಸಭೆಯಲ್ಲಿ / ಚರ್ಚ್ ನಲ್ಲಿ ವಿವಾಹ ವಿಚ್ಛೇದನ ಪಡೆದ ಪುರುಷ ಅಥವಾ ಮಹಿಳೆ ನಾಯಕ /ಕಿಯರಾಗಿ ಸೇವೆ ಸಲ್ಲಿಸುವ ಬಗ್ಗೆ ಅನೇಕ ವಿಚಾರಗಳನ್ನು ತಿಳಿಸಿದೆ.ವಿದ್ವಾಂಸರು ಇಂತಹ ಬೋಧನೆ / ವಿಚಾರಗಳನ್ನು ಸಮ್ಮತಿಸುವುದಿಲ್ಲ.ಭಾಷಾಂತರ ಮಾಡುವ ಬದಲು ಇಂತಹ ವಿಚಾರಗಳ ಬಗ್ಗೆ ಅಧ್ಯಯನ ಮಾಡುವುದು ಉತ್ತಮ ಭಾಗ 3:  ಪ್ರಮುಖ ಭಾಷಾಂತರ ವಿಚಾರಗಳು <br><br>### ಏಕವಚನ ಮತ್ತು ಬಹುವಚನ ""ಯು""<br> ಈ ಪುಸ್ತಕದಲ್ಲಿ ""ಐ/ ನಾನು"" ಎಂಬ ಪದ ಪೌಲನನ್ನು ಉದ್ದೇಶಿಸಿ ಹೇಳಿರುವುದು ""ಯು"" ಎಂಬ ಪದ ಏಕವಚನವಾಗಿ ತೀತನನ್ನು ಉದ್ದೇಶಿಸಿ ಹೇಳಿದೆ. ವಿಶೇಷವಾಗಿ 3:15. (ನೋಡಿ: [[rc://en/ta/man/translate/figs-exclusive]] ಮತ್ತು [[rc://en/ta/man/translate/figs-you]])<br><br>### ""ದೇವರು ನಮ್ಮ ರಕ್ಷಕ"" ಇದರ ಅರ್ಥವೇನು ?""<br><br> ಈ ಪತ್ರದಲ್ಲಿ ಇದೊಂದು ಸಾಮಾನ್ಯ ಪದಗುಚ್ಛ  . ದೇವರು ತನ್ನ ವಿರುದ್ಧ ಪಾಪಮಾಡಿದವರನ್ನು ಕ್ರಿಸ್ತನ ನಾಮದಲ್ಲಿ ಹೇಗೆ ಕ್ಷಮಿಸಿದ ಎಂಬುದರ  ಬಗ್ಗೆ ಓದುಗರನ್ನು ಅಲೋಚಿಸುವಂತೆ ಮಾಡುತ್ತದೆ. ಮತ್ತು ದೇವರು ತನ್ನಅಂತಿಮ ನ್ಯಾಯತೀರ್ಪಿನಂದು ನೀಡುವ ಶಿಕ್ಷೆಯಿಂದ ಇವರನ್ನು ಕ್ಷಮಿಸುವುದರ ಮೂಲಕ ಹೇಗೆ ರಕ್ಷಿಸಿದ ಎಂಬುದನ್ನು ತಿಳಿಸುತ್ತದೆ. ಇದೇ ರೀತಿಯ ಇನ್ನೊಂದು ಪದಗುಚ್ಛ ಈ ಅಧ್ಯಾಯದಲ್ಲಿ ಬರುತ್ತದೆ. ಅದು "" ನಮ್ಮ ಮಹೋನ್ನತ ದೇವರು ರಕ್ಷಕನಾದ ಯೇಸುಕ್ರಿಸ್ತ ಎಂಬುದು .""<br>"
TIT	1	intro	c7me			0		"# ತೀತ 01 ಸಾಮಾನ್ಯ ಟಿಪ್ಪಣಿಗಳು <br>##ರಚನೆ ಮತ್ತು ನಮೂನೆಗಳು<br><br> ಈ ಪತ್ರದಲ್ಲಿ ಪೌಲನು  1-4 ವಾಕ್ಯಗಳ ಮೂಲಕ ವ್ಯವಸ್ಥಿತವಾದ ರೀತಿಯಲ್ಲಿ ಪೀಠಿಕೆ ನೀಡುತ್ತಾನೆ. ಪುರಾತನಕಾಲದ ಪೂರ್ವದೇಶದಲ್ಲಿ ಸಾಮಾನ್ಯವಾಗಿ ಲೇಖಕರು ಪತ್ರಗಳನ್ನು ಈರೀತಿ ಪ್ರಾರಂಭಿಸುತ್ತಿದ್ದರು .<br><br>  ಚರ್ಚ್ ನ ./ 
ಸಭೆಯ ಹಿರಿಯರಾಗಿ ಸೇವೆ ಸಲ್ಲಿಸಲು ಹೊಂದಿಸಬೇಕಾದ ಅನೇಕ ಗುಣಲಕ್ಷಣಗಳನ್ನು ಪೌಲನು 6-9 ವಾಕ್ಯಗಳಲ್ಲಿ ಪಟ್ಟಿಮಾಡಿ ತಿಳಿಸುತ್ತಾನೆ .(ನೋಡಿ: ಆರ್ ಸಿ ://ಇ ಎನ್/ ಭಾಷಾಂತರ/man/ ಭಾಷಾಂತರ / ಅಲಂಕಾರಗಳು ಮತ್ತು ಭಾವಸೂಚಕ ನಾಮಪದಗಳು) ಪೌಲನು  ಇದೇ ರೀತಿಯ ಪಟ್ಟಿಯನ್ನು 1 ತಿಮೋಥಿ 3ರಲ್ಲಿ ನೀಡುತ್ತಾನೆ.<br><br>## ಈ ಅಧ್ಯಾಯದಲ್ಲಿನ ವಿಶೇಷ ಪರಿಕಲ್ಪನೆಗಳು <br><br>## ಹಿರಿಯರು<br><br> 
ಸಭೆಯ / ಚರ್ಚ್ ನ ಹಿರಿಯರನ್ನು ವಿವಿಧ ಹೆಸರುಗಳಿಂದ ಕರೆಯುತ್ತಾರೆ. ಇವುಗಳಲ್ಲಿ ಕೆಲವು ಹೆಸರುಗಳು ಮೇಲ್ವಿಚಾರಕರು , ಹಿರಿಯರು , ಸಭಾಪಾಲಕರು ಮತ್ತು ಬಿಷಪ್ 
 <br><br> ###  ಈ ಅಧ್ಯಾಯದಲ್ಲಿನ ಇತರ ಭಾಷಾಂತರ ಕ್ಲಿಷ್ಟತೆಗಳು <br><br> ###  ಬೇಕಾದುದು , ಅವಶ್ಯವಾದುದು 
<br> ಯು.ಎಲ್.ಟಿ.ಯಲ್ಲಿ ಅವಶ್ಯವಾಗಿ ಆಗಬೇಕಾಗಿರುವುದಕ್ಕೆ ಅಥವಾ ಕರಾರುಗಳ ಬಗ್ಗೆ ಹೇಳಲು ವಿವಿಧ ಪದಗಳನ್ನು ಬಳಸಲಾಗಿದೆ.ಈ ಕ್ರಿಯಾಪದಗಳಿಗೆ ವಿವಿಧ ಹಂತದ ಪ್ರಭೇದಗಳಿವೆ. ಕೆಲವು ಸೂಕ್ಷ್ಮವಾದ ವಿಭಿನ್ನತೆಗಳನ್ನು ಭಾಷಾಂತರಿಸಲು ಕಷ್ಟವಾಗಬಹುದು. ಯು.ಎಸ್.ಟಿ.ಯಲ್ಲಿ ಈ ಕ್ರಿಯಾಪದಗಳನ್ನು ಸಾಮಾನ್ಯರೀತಿಯಲ್ಲಿಭಾಷಾಂತರಿಸ ಬಹುದು <br>"
TIT	1	1	rtc9		κατὰ πίστιν	1	for the faith of	ವಿಶ್ವಾಸವನ್ನು / ನಂಬಿಕೆಯನ್ನು ಬಲಪಡಿಸಲು
TIT	1	1	fyf8		τῆς κατ’ εὐσέβειαν	1	that agrees with godliness	ಇದು ದೇವರನ್ನು ಗೌರವಿಸಲು ಸೂಕ್ತವಾದುದು
TIT	1	2	r2gj		πρὸ χρόνων αἰωνίων	1	before all the ages of time	ಅನಾದಿಕಾಲದಲ್ಲೇ ಪ್ರಾರಂಭವಾದುದು
TIT	1	3	b22h		καιροῖς ἰδίοις	1	At the right time	ಸೂಕ್ತವಾದ ಸಮಯದಲ್ಲಿ
TIT	1	3	swi9	figs-metaphor	ἐφανέρωσεν ... τὸν λόγον αὐτοῦ	1	he revealed his word	"ಪೌಲನು ದೇವರ ಸಂದೇಶವನ್ನು ಕುರಿತು ಮಾತನಾಡುವಾಗ ಅದೊಂದು ಕಣ್ಣಿಗೆ ಕಾಣುವ ವಿಷಯದಂತೆ ಅಥವಾ ಜನರು ಸಂದೇಶವನ್ನು ಅನುಭವಿಸುವಂತೆ , ಕಣ್ಣಿಗೆ ಕಟ್ಟುವಂತೆ ವಿವರಿಸುತ್ತಿದ್ದನು.ಪರ್ಯಾಯ ಭಾಷಾಂತರ : "" ಆತನು ಆತನ ಸಂದೇಶವನ್ನು ಚೆನ್ನಾಗಿ ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವಂತೆ ತಿಳಿಸಿದ "" (ನೋಡಿ: [[rc://en/ta/man/translate/figs-metaphor]])"
TIT	1	3	m41u		ὃ ἐπιστεύθην ἐγὼ	1	he trusted me to deliver	"ಆತನು ನನ್ನ ಮೇಲೆ ಭರವಸೆ ಇಟ್ಟನು ಅಥವಾ ಆತನು ನನ್ನ ಮೇಲೆ ಭರವಸೆ ಇಟ್ಟು ಬೋಧಿಸುವ ಜವಾಬ್ದಾರಿಯನ್ನು ಕೊಟ್ಟನು """
TIT	1	3	dpn4		τοῦ Σωτῆρος ἡμῶν Θεοῦ	1	God our Savior	ದೇವರು ನಮ್ಮನ್ನು ರಕ್ಷಿಸುತ್ತಾನೆ.
TIT	1	4	gu55	figs-metaphor	γνησίῳ τέκνῳ	1	a true son	"ತೀತನು ಪೌಲನ ನಿಜವಾದ ಮಗನಲ್ಲದಿದ್ದರೂ ಇಬ್ಬರೂ ಕ್ರಿಸ್ತ ನಂಬಿಕೆಯಲ್ಲಿ ಒಂದೇ ರೀತಿಯ ನಂಬಿಕೆಯನ್ನು ಪರಸ್ಪರ ಹೊಂದಿದ್ದಾರೆ . ಕ್ರಿಸ್ತ ನಂಬಿಕೆಯಲ್ಲಿ ಪೌಲನು ತೀತನನ್ನು ತನ್ನ ಸ್ವಂತ ಮಗನೆಂದೇ ಪರಿಗಣಿಸುತ್ತಾನೆ . ಪರ್ಯಾಯ ಭಾಷಾಂತರ : "" ನೀನು ನನ್ನ ಮಗನಂತೆ ಎಂದು ಹೇಳುತ್ತಾನೆ . "" (ನೋಡಿ: [[rc://en/ta/man/translate/figs-metaphor]])"
